accuracy,loss,val_accuracy,val_loss
0.510869562625885,57850.52734375,0.6304348111152649,15187.42578125
0.5036231875419617,15383.376953125,0.6304348111152649,17438.63671875
0.48188406229019165,13872.8876953125,0.6304348111152649,12644.9970703125
0.4855072498321533,15908.404296875,0.3695652186870575,7502.55810546875
0.49818840622901917,11252.5615234375,0.6376811861991882,1186.779296875
0.532608687877655,26292.888671875,0.3695652186870575,10260.65625
0.49275362491607666,12312.138671875,0.6376811861991882,1512.133544921875
0.5181159377098083,33056.92578125,0.6304348111152649,47354.015625
0.4855072498321533,32100.935546875,0.3695652186870575,7436.89306640625
0.5036231875419617,22069.86328125,0.6376811861991882,10131.6474609375
0.5289855003356934,14142.294921875,0.6304348111152649,19919.5625
0.52173912525177,29317.353515625,0.6304348111152649,25123.33984375
0.5289855003356934,51308.92578125,0.6376811861991882,7803.86669921875
0.5181159377098083,31228.13671875,0.6304348111152649,28561.38671875
0.5362318754196167,15627.57421875,0.3695652186870575,3077.640380859375
0.5489130616188049,16779.76953125,0.6376811861991882,9968.4140625
0.48731884360313416,23818.130859375,0.6376811861991882,2497.521240234375
0.48731884360313416,15973.298828125,0.7463768124580383,36.49383544921875
0.489130437374115,10519.1689453125,0.6376811861991882,20637.14453125
0.532608687877655,12969.1611328125,0.6376811861991882,7471.80517578125
